Assembly Accession	Organism Name	Organism Taxonomic ID
GCA_964197645.1	Abax parallelepipedus	102642
GCA_964212075.1	Abia candens	362089
GCA_022829085.1	Abramis brama	38527
GCA_964187985.1	Abraxas sylvata	190335
GCA_905340225.1	Abrostola tripartita	938171
GCA_946251915.1	Abrostola triplasia	254365
GCA_034766995.1	Acanthacorydalis orientalis	1449960
GCA_044231505.1	Acanthochitona rubrolineata	761904
GCF_021347895.1	Acanthochromis polyacanthus	80966
GCA_031841125.1	Acanthococcus lagerstroemiae	2838189
GCF_904848185.1	Acanthopagrus latus	8177
GCA_041753875.1	Acanthopagrus schlegelii	72011
GCA_930367205.1	Acanthosoma haemorrhoidale	483950
GCF_929443795.1	Accipiter gentilis	8957
GCA_929443795.2	Accipiter gentilis	8957
GCA_043388435.1	Accipiter gularis	258530
GCA_943193645.1	Acentria ephemerella	1666818
GCA_034509495.1	Acestrorhynchus altus	639287
GCA_009760885.1	Achatina immaculata	2605667
GCA_041274885.1	Achelura yunnanensis	2871086
GCA_947623365.1	Achlya flavicornis	753485
GCA_949317995.1	Acholoe squamosa	2922911
GCF_027475565.1	Acinonyx jubatus	32536
GCA_030684275.1	Acipenser oxyrinchus oxyrinchus	40147
GCF_902713425.1	Acipenser ruthenus	7906
GCA_948252455.1	Acleris cristana	758705
GCA_927399475.2	Acleris emargana	758706
GCA_949316455.1	Acleris holmiana	572802
GCA_963966035.1	Acleris laterana	758709
GCA_946894065.1	Acleris literana	1100899
GCA_923062465.1	Acleris sparsana	758717
GCA_029890205.1	Acomys cahirinus	10068
GCA_907164435.1	Acomys dimidiatus	60744
GCA_907164505.1	Acomys kempi	83762
GCA_964271855.1	Acomys minous	83528
GCA_907169655.1	Acomys percivali	83527
GCF_903995435.1	Acomys russatus	60746
GCA_037013685.1	Acridotheres tristis	279927
GCA_041722995.2	Acritoscincus duperreyi	316450
GCA_963555685.1	Acrobasis consociella	1100900
GCA_963576875.1	Acrobasis repandana	1100902
GCA_943193695.1	Acrobasis suavella	1857951
GCA_964212105.1	Acrobeloides maximus	96598
GCA_910950805.1	Acrocephalus scirpaceus scirpaceus	126889
GCA_947359355.1	Acrocera orbiculus	210248
GCA_910591435.1	Acronicta aceris	987859
GCA_964056405.1	Acronicta alni	987860
GCA_947256265.1	Acronicta leporina	987862
GCA_946251955.1	Acronicta psi	987865
GCA_964273435.1	Acropora austera	117779
