"Sample ID","Bioproject ID","Biosample ID","Species","Biotic Relationship","Extreme Environment","Cell Arrangement","Cell Shape","Colony Color","Energy Source","Habitat","Oxygen","Latitude","Longitude","Elevation","Collection Method","Collection Date","Storage Method","Originating Lab","Sample Provider","GEO Location","Contact Email","Description"
"P10K-MW-000001","PRJCA003484","SAMC247139","Tetrahymena canadensis","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Aquatic","Aerobe","NA","NA","NA","Enrichment","2013-06","Liquid nitrogen","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","Bought from ATCC (30770). From P10K (NGDC)"
"P10K-MW-000002","PRJCA003484","SAMC247140","Tetrahymena pyriformis","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Aquatic","Aerobe","30.546642","114.34961","37.47","Enrichment","2013-06","Liquid nitrogen","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","Ye et al. 2014, Aquatic Toxicology. From P10K (NGDC)"
"P10K-MW-000003","PRJCA003484","SAMC247141","Tetrahymena vorax","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Aquatic","Aerobe","NA","NA","NA","Enrichment","2013-06","Liquid nitrogen","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","Bought from ATCC (30421). From P10K (NGDC)"
"P10K-MW-000004","PRJCA003484","SAMC247142","Tetrahymena empidokyrea","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Aquatic","Aerobe","NA","NA","NA","Enrichment","2013-06","Liquid nitrogen","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","Bought from ATCC (50595). From P10K (NGDC)"
"P10K-MW-000005","PRJCA003484","SAMC247143","Tetrahymena shanghaiensis","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Aquatic","Aerobe","NA","NA","NA","Enrichment","2013-06","Liquid nitrogen","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","Bought from ATCC (205039). From P10K (NGDC)"
"P10K-MW-000006","PRJCA003484","SAMC247144","Tetrahymena paravorax","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Aquatic","Aerobe","NA","NA","NA","Enrichment","2013-06","Liquid nitrogen","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","Bought from ATCC (205177). From P10K (NGDC)"
"P10K-MW-000007","PRJCA003485","SAMC247151","Uronema sp. SZ","Free living-endophytic","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Marine water","Aerobe","22.5","114","0","Enrichment","2018-06","Organic medium","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Shenzhen","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000008","PRJCA003485","SAMC247146","Pseudocohnilembus persalinus","Free living-endophytic","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Marine water","Aerobe","36.05","120.33","0","Enrichment","2014-08","Organic medium","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;ShanDong;Qingdao","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000009","PRJCA003485","SAMC247148","Uronemita sp. ND","Free living-endophytic","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Marine water","Aerobe","26.61364","119.74537","0","Enrichment","2018-06","Organic medium","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Fujian;Ningde","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000010","PRJCA003485","SAMC247149","Uronema sp. ND","Free living-endophytic","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Marine water","Aerobe","26.61364","119.74537","0","Enrichment","2018-06","Organic medium","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Fujian;Ningde","p10k@ihb.ac.cn","From P10K (NGDC)"
