# Assembly Statistics Report
# Assembly name:  TGA4
# Organism name:  Toxoplasma gondii ME49 (apicomplexans)
# Infraspecific name:  strain=ME49
# Taxid:          508771
# BioSample:      SAMN00255192
# BioProject:     PRJNA28893
# Submitter:      J. Craig Venter Institute
# Date:           2013-08-02
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ABPA02
# Assembly method: Celera Assembler v. 1.92
# Genome coverage: 26.55x
# Sequencing technology: 454 GS FLX Titanium; Sanger
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000006565.2
# RefSeq assembly accession: GCF_000006565.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000006575.2	GCF_000006575.2	Primary Assembly
## GCA_000409655.1	GCF_000125415.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	65669694
all	all	all	all	spanned-gaps	232
all	all	all	all	unspanned-gaps	13
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2279
all	all	all	all	scaffold-N50	4973582
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	1955354
all	all	all	all	scaffold-N90	989449
all	all	all	all	contig-count	2511
all	all	all	all	contig-N50	1219553
all	all	all	all	contig-L50	17
all	all	all	all	total-gap-length	205452
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	2266
all	all	all	all	component-count	2511
all	all	all	all	gc-perc	52.5
Primary Assembly	all	all	all	total-length	65633124
Primary Assembly	all	all	all	ungapped-length	65430047
Primary Assembly	all	all	all	scaffold-count	2276
Primary Assembly	all	all	all	scaffold-N50	4973582
Primary Assembly	all	all	all	spanned-gaps	231
Primary Assembly	all	all	all	unspanned-gaps	13
Primary Assembly	all	all	all	gc-perc	52.5
Primary Assembly	all	all	assembled-molecule	total-length	62474065
Primary Assembly	all	all	assembled-molecule	ungapped-length	62296802
Primary Assembly	all	all	assembled-molecule	scaffold-count	27
Primary Assembly	all	all	assembled-molecule	scaffold-N50	5069724
Primary Assembly	all	all	assembled-molecule	spanned-gaps	209
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	13
Primary Assembly	all	all	assembled-molecule	gc-perc	52.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	3159059
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	3133245
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2249
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	1354
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	22
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	50.5
Primary Assembly	Ia	Chromosome	all	total-length	1859933
Primary Assembly	Ia	Chromosome	all	ungapped-length	1858143
Primary Assembly	Ia	Chromosome	all	scaffold-count	1
