Species,SampleID,AssemblyID,TotalSize,ScaffoldCount,N50,Completeness,GeneCount,CDSCompleteness,AnnotLevel,SomeNumber
Tetrahymena canadensis,P10K-MW-000001,GWHAZTU00000000,103.4,1637,416000,45.0,25188,100.0,Medium,1
Tetrahymena pyriformis,P10K-MW-000002,GWHAZTQ00000000,116.1,367,603000,93.6,26866,100.0,High,1
Tetrahymena vorax,P10K-MW-000003,GWHAZTW00000000,114.8,658,512000,94.2,25238,100.0,High,1
Tetrahymena empidokyrea,P10K-MW-000004,GWHAZTR00000000,84.9,558,447000,83.6,20847,100.0,High,1
Tetrahymena shanghaiensis,P10K-MW-000005,GWHAZTS00000000,95.6,2660,154000,88.9,21982,100.0,High,1
Tetrahymena paravorax,P10K-MW-000006,GWHAZTX00000000,108.4,448,574000,94.1,25551,100.0,High,1
Uronema sp. SZ,P10K-MW-000007,GWHASIO00000000,88.85,403,470000,82.5,24582,100.0,High,1
Pseudocohnilembus persalinus,P10K-MW-000008,GWHAZTY00000000,55.5,288,368000,70.8,13186,100.0,High,1
Uronemita sp. ND,P10K-MW-000009,GWHDPJN00000000,88.795049,46490,3130,46.2,-1,-1.0,NA,0
Uronema sp. ND,P10K-MW-000010,GWHDPJO00000000,99.563746,22254,29832,50.8,-1,-1.0,NA,0
Parauronema sp. SZ,P10K-MW-000011,GWHDPJP00000000,106.043967,16546,33042,50.9,-1,-1.0,NA,0
Uronema marinum,P10K-MW-000012,GWHDPJQ00000000,120.650844,37454,18989,48.0,-1,-1.0,NA,0
Paralembus sp. QD,P10K-MW-000013,GWHDPJR00000000,40.184021,57535,980,65.5,-1,-1.0,NA,0
Vorticella campanula,P10K-MW-000014,GWHBJWP00000000,44.37844,5159,18423,71.3,19324,8.3678327468433,Low,1
Zoothamnium arbuscula,P10K-MW-000015,GWHBJWQ00000000,34.230933,1741,42106,81.9,20308,5.67264132361631,Low,1
Epistylis sp.,P10K-MW-000016,GWHBJWO00000000,38.76322,4216,30209,48.0,16795,9.97916046442394,Low,1
Spirostomum minus,P10K-MW-000017,NA,66.561094,194,277448,74.2,38210,99.3771264066998,High,1
Oligohymenophorea sp.1 P10K,P10K-MW-000018,GWHDPJS00000000,42.313141,6408,13053,52.1,8307,46.0695798723968,Low,1
Glaucomidae sp.1 P10K,P10K-MW-000019,GWHDPJT00000000,89.114262,4780,35910,91.3,10919,5.00961626522575,Low,1
Tetrahymena rostrata strain P10K-1,P10K-MW-000020,GWHDPJU00000000,241.758326,23681,24475,90.0,65931,81.6565803643203,High,1
Tetrahymena rostrata strain P10K-2,P10K-MW-000021,GWHDPJV00000000,264.033275,18472,34195,93.0,69395,88.1504431154982,High,1
Glaucoma scintillans strain P10K-1,P10K-MW-000022,GWHDPJW00000000,70.150303,3928,34655,90.6,27031,93.5111538603825,High,1
Tetrahymena tropicalis strain P10K-1,P10K-MW-000023,GWHDPJX00000000,95.133074,5685,36753,83.6,26871,88.6606378623795,High,1
Tetrahymena tropicalis strain P10K-2,P10K-MW-000024,GWHDPJY00000000,108.734359,2367,143420,96.0,27661,95.2460142438813,High,1
